error,neurons ,alpha,momentum,time
0.1497,50,0.1,0.9,2.49
0.1394,50,0.001,0.9,1.48
0.1242,50,0.01,0.9,3.54
0.11,20,0.01,0.7,4
0.11,20,0.001,0.7,4.2
0.1,20,0.1,0.7,4.9
0.0958,20,0.1,0.3,6.3
0.09,20,0.01,0.3,7.4
0.08,20,0.001,0.3,8.3
0.0754,100,0.1,0.9,5.23
0.0753,100,0.001,0.9,5.3
0.0749,100,0.01,0.9,5.23
0.07,50,0.01,0.7,3.53
0.0676,50,0.001,0.3,9
0.0662,50,0.1,0.7,7.27
0.0657,50,0.001,0.7,7.07
0.0642,50,0.01,0.3,15.06
0.0627,50,0.1,0.3,13.16
0.0603,100,0.001,0.7,11.09
0.0592,100,0.01,0.7,11.22
0.0591,100,0.1,0.7,9.25
0.0533,100,0.001,0.3,23.58
0.0529,100,0.01,0.3,15.49
0.0527,100,0.1,0.3,25.38
0.26,20,0.001,0.9,2.4
0.6,20,0.1,0.9,0.42
0.6,20,0.01,0.9,1.3
